"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 21, 2020","497.48","477.05","499.47","477.00","84.51M","5.15%"
"Aug 20, 2020","473.10","463.12","473.52","463.12","31.73M","2.22%"
"Aug 19, 2020","462.83","463.95","468.63","462.50","36.38M","0.13%"
"Aug 18, 2020","462.25","457.74","463.99","456.10","26.41M","0.83%"
"Aug 17, 2020","458.43","464.02","464.02","455.90","430.64K","-0.26%"
"Aug 14, 2020","459.63","459.32","460.00","452.18","41.39M","-0.09%"
"Aug 13, 2020","460.04","458.00","464.12","455.71","52.52M","1.77%"
"Aug 12, 2020","452.04","441.91","453.09","441.27","41.49M","3.32%"
"Aug 11, 2020","437.50","448.70","449.83","436.51","46.98M","-2.97%"
"Aug 10, 2020","450.91","450.00","454.98","440.28","53.10M","1.45%"
"Aug 07, 2020","444.45","452.82","454.70","441.17","49.51M","-2.45%"
"Aug 06, 2020","455.61","441.53","457.64","440.56","50.61M","3.49%"
"Aug 05, 2020","440.25","437.72","441.52","435.64","30.50M","0.36%"
"Aug 04, 2020","438.66","436.53","443.16","433.55","43.20M","0.67%"
"Aug 03, 2020","435.75","432.80","446.55","431.57","77.04M","2.52%"
"Jul 31, 2020","425.04","411.54","425.66","403.30","93.57M","10.47%"
"Jul 30, 2020","384.76","376.75","385.19","375.07","39.53M","1.21%"
"Jul 29, 2020","380.16","375.00","380.92","374.85","22.58M","1.92%"
"Jul 28, 2020","373.01","377.47","378.20","372.99","25.91M","-1.64%"
"Jul 27, 2020","379.24","374.84","379.62","373.92","30.30M","2.37%"
"Jul 24, 2020","370.46","363.95","371.88","356.58","46.36M","-0.25%"